ID             Name            Absences        Midterm(35%)        Classwork(25%)      Final(40%)
201911111   Abdullah hassan        0                30                   23                 34   
201922222   Mohammed ali           3                28                   20                 30   
201933333   Hazem selmi            0                35                   25                 40   
201933344   Hazem selmi            0                32                   22                 33   
201944444   Rashed khaled          4                24                   20                 28   
201955555   Mousa fahad            7                13                   6                  0   
201966666   Salem abdulaziz        1                33                   22                 30  
201977777   Khaled dawood          3                26                   20                 27   
201988888   Fahad majed            2                30                   19                 38   
201999999   Nasser mousa           2                31                   17                 33   
